id,value,color
End Species,,
End Species.Antarctica,,
End Species.Antarctica.2014,6,#9C27B0
End Species.Antarctica.2015,6,#9C27B0
End Species.Antarctica.2016,6,#9C27B0
End Species.Antarctica.2017,6,#9C27B0
End Species.Antarctica.2018,6,#9C27B0
End Species.Australia,,
End Species.Australia.2014,906,#C5CAE9
End Species.Australia.2015,909,#9FA8DA
End Species.Australia.2016,926,#7986CB
End Species.Australia.2017,948,#5C6BC0
End Species.Australia.2018,998,#3F51B5
End Species.China,,
End Species.China.2014,995,#BBDEFB
End Species.China.2015,1040,#90CAF9
End Species.China.2016,1079,#64B5F6
End Species.China.2017,1080,#42A5F5
End Species.China.2018,1095,#2196F3
End Species.Fiji,,
End Species.Fiji.2014,278,#B2EBF2
End Species.Fiji.2015,278,#80DEEA
End Species.Fiji.2016,282,#4DD0E1
End Species.Fiji.2017,291,#26C6DA
End Species.Fiji.2018,298,#00BCD4
End Species.India,,
End Species.India.2014,988,#B2DFDB
End Species.India.2015,1039,#80CBC4
End Species.India.2016,1051,#4DB6AC
End Species.India.2017,1052,#26A69A
End Species.India.2018,1067,#009688
End Species.Indonesia,,
End Species.Indonesia.2014,1225,#F8BBD0
End Species.Indonesia.2015,1246,#F48FB1
End Species.Indonesia.2016,1257,#F06292
End Species.Indonesia.2017,1281,#EC407A
End Species.Indonesia.2018,1295,#E91E63
End Species.Italy,,
End Species.Italy.2014,276,#E1BEE7
End Species.Italy.2015,279,#CE93D8
End Species.Italy.2016,305,#BA68C8
End Species.Italy.2017,359,#AB47BC
End Species.Italy.2018,420,#9C27B0
End Species.Madagascar,,
End Species.Madagascar.2014,929,#ffcdd2
End Species.Madagascar.2015,965,#ef9a9a
End Species.Madagascar.2016,1244,#e57373
End Species.Madagascar.2017,1324,#ef5350
End Species.Madagascar.2018,1616,#f44336
End Species.Papua New Guinea,,
End Species.Papua New Guinea.2014,471,#F0F4C3
End Species.Papua New Guinea.2015,478,#E6EE9C
End Species.Papua New Guinea.2016,488,#DCE775
End Species.Papua New Guinea.2017,493,#D4E157
End Species.Papua New Guinea.2018,499,#CDDC39
End Species.Peru,,
End Species.Peru.2014,642,#FFE0B2
End Species.Peru.2015,643,#FFCC80
End Species.Peru.2016,693,#FFB74D
End Species.Peru.2017,685,#FFA726
End Species.Peru.2018,713,#FF9800
End Species.South Africa,,
End Species.South Africa.2014,528,#C5CAE9
End Species.South Africa.2015,527,#9FA8DA
End Species.South Africa.2016,537,#7986CB
End Species.South Africa.2017,581,#5C6BC0
End Species.South Africa.2018,607,#3F51B5
End Species.United Rep of Tanzania,,
End Species.United Rep of Tanzania.2014,979,#BBDEFB
End Species.United Rep of Tanzania.2015,1077,#90CAF9
End Species.United Rep of Tanzania.2016,1086,#64B5F6
End Species.United Rep of Tanzania.2017,1082,#42A5F5
End Species.United Rep of Tanzania.2018,1121,#2196F3
End Species.United States of America,,
End Species.United States of America.2014,1287,#B2EBF2
End Species.United States of America.2015,1299,#80DEEA
End Species.United States of America.2016,1479,#4DD0E1
End Species.United States of America.2017,1513,#26C6DA
End Species.United States of America.2018,1540,#00BCD4
